locality,biden,trump,biden_pct,trump_pct,youngkin,mcauliffe,pct_youngkin,pct_mcauliffe,mc_overperform,yk_overperform
LUNENBURG COUNTY,2418,3537,40.3,58.95,3019,1567,65.66999999999999,34.09,-6.209999999999994,6.719999999999985
LYNCHBURG CITY,18048,17097,49.63,47.02,13668,11000,54.89,44.17,-5.460000000000001,7.8699999999999974
MADISON COUNTY,2698,5300,33.19,65.2,4721,1973,70.16999999999999,29.330000000000002,-3.859999999999996,4.969999999999985
MANASSAS CITY,10356,6256,61.03,36.87,5050,6155,44.67,54.44,-6.590000000000003,7.800000000000004
MANASSAS PARK CITY,3992,1979,65.58,32.51,1379,2158,38.339999999999996,59.99,-5.589999999999996,5.829999999999998
MARTINSVILLE CITY,3766,2165,62.63,36.01,1676,2224,42.48,56.379999999999995,-6.250000000000007,6.469999999999999
MATHEWS COUNTY,1825,3901,31.33,66.96,3493,1363,71.56,27.919999999999998,-3.41,4.6000000000000085
MECKLENBURG COUNTY,6803,9266,41.98,57.18,7922,4075,65.81,33.849999999999994,-8.130000000000003,8.630000000000003
MIDDLESEX COUNTY,2491,4196,36.71,61.84,3703,1860,65.97,33.14,-3.5700000000000003,4.1299999999999955
MONTGOMERY COUNTY,23218,20629,51.55,45.8,17041,15355,51.96,46.82,-4.729999999999997,6.160000000000004
NELSON COUNTY,4327,4812,46.45,51.65,4259,3346,55.46,43.57,-2.8800000000000026,3.8100000000000023
NEW KENT COUNTY,4621,9631,31.95,66.59,8569,3439,71.02,28.5,-3.4499999999999993,4.429999999999993
NEWPORT NEWS CITY,53099,26377,65.39,32.48,21241,32399,39.14,59.690000000000005,-5.699999999999996,6.660000000000004
NORFOLK CITY,64440,23443,71.69,26.08,18888,40324,31.45,67.14,-4.549999999999997,5.370000000000001
NORTHAMPTON COUNTY,3667,2955,54.47,43.89,2650,2584,50.339999999999996,49.09,-5.3799999999999955,6.449999999999996
NORTHUMBERLAND COUNTY,3252,4485,41.61,57.39,4167,2312,63.949999999999996,35.48,-6.130000000000003,6.559999999999995
NORTON CITY,464,1109,28.98,69.27,866,320,71.99000000000001,26.6,-2.379999999999999,2.720000000000013
NOTTOWAY COUNTY,2971,4027,41.98,56.89,3497,1892,64.57,34.93,-7.049999999999997,7.679999999999993
ORANGE COUNTY,7995,12426,38.54,59.91,10670,5351,66.23,33.220000000000006,-5.319999999999993,6.320000000000007
PAGE COUNTY,3007,9345,24.03,74.68,7594,1995,78.92,20.73,-3.3000000000000007,4.239999999999995
PATRICK COUNTY,1954,7485,20.5,78.51,5946,1255,82.14,17.34,-3.16,3.6299999999999955
PETERSBURG CITY,12389,1584,87.75,11.22,1207,7591,13.5,84.86999999999999,-2.8800000000000097,2.2799999999999994
PITTSYLVANIA COUNTY,10115,23751,29.55,69.39,19543,6319,75.31,24.35,-5.199999999999999,5.920000000000002
POQUOSON CITY,2054,5605,26.14,71.34,4897,1364,77.75,21.66,-4.48,6.409999999999997
PORTSMOUTH CITY,30948,12755,69.42,28.61,9946,19513,33.339999999999996,65.41000000000001,-4.009999999999991,4.729999999999997
POWHATAN COUNTY,5320,14055,26.96,71.24,12582,3721,76.86,22.73,-4.23,5.6200000000000045
PRINCE EDWARD COUNTY,4973,4434,51.94,46.31,3876,3210,54.4,45.05,-6.890000000000001,8.089999999999996
PRINCE GEORGE COUNTY,7103,10103,40.75,57.96,8548,4577,64.64999999999999,34.620000000000005,-6.1299999999999955,6.689999999999991
PRINCE WILLIAM COUNTY,142863,81222,62.64,35.61,64658,87352,42.2,57.01,-5.630000000000003,6.590000000000003
PULASKI COUNTY,4925,12127,28.34,69.79,9631,3277,74.06,25.2,-3.1400000000000006,4.269999999999996
RADFORD CITY,3358,2786,53.13,44.08,2266,1879,54.03,44.8,-8.330000000000005,9.950000000000003
RAPPAHANNOCK COUNTY,2096,2812,42.11,56.49,2507,1686,59.449999999999996,39.98,-2.1300000000000026,2.9599999999999937
RICHMOND COUNTY,1513,2547,36.88,62.09,2225,936,69.9,29.41,-7.470000000000002,7.810000000000002
RICHMOND CITY,92175,16603,82.92,14.94,15713,61929,19.610000000000003,77.27,-5.650000000000006,4.6700000000000035
ROANOKE COUNTY,21801,34268,38.12,59.93,28157,14445,65.7,33.7,-4.419999999999995,5.770000000000003
ROANOKE CITY,26773,15607,61.8,36.02,12024,16817,41.25,57.7,-4.099999999999994,5.229999999999997
ROCKBRIDGE COUNTY,4086,8088,33.02,65.37,6906,3071,68.89,30.64,-2.3800000000000026,3.519999999999996
ROCKINGHAM COUNTY,12644,30349,28.86,69.27,26765,8569,75.31,24.110000000000003,-4.7499999999999964,6.040000000000006
RUSSELL COUNTY,2373,10879,17.73,81.27,8229,1452,84.83,14.97,-2.76,3.5600000000000023
SALEM CITY,5148,7683,39.45,58.87,6144,3344,64.29,34.99,-4.460000000000001,5.420000000000009
SCOTT COUNTY,1692,9063,15.57,83.38,7065,1034,86.89,12.719999999999999,-2.8500000000000014,3.510000000000005
SHENANDOAH COUNTY,6836,16463,28.86,69.51,13693,4535,74.64,24.72,-4.140000000000001,5.1299999999999955
SMYTH COUNTY,3008,10963,21.28,77.55,8477,1751,82.55,17.05,-4.23,5
SOUTHAMPTON COUNTY,3969,5730,40.56,58.55,5084,2717,64.9,34.68,-5.880000000000003,6.3500000000000085
SPOTSYLVANIA COUNTY,34307,39411,45.55,52.33,32478,21426,59.839999999999996,39.47,-6.079999999999998,7.509999999999998
STAFFORD COUNTY,40245,37636,50.54,47.27,31680,25463,55,44.2,-6.339999999999996,7.729999999999997
STAUNTON CITY,6981,5695,53.74,43.84,4640,5004,47.49,51.21,-2.530000000000001,3.6499999999999986
SUFFOLK CITY,28676,20082,57.77,40.45,17351,19079,47.260000000000005,51.96,-5.810000000000002,6.810000000000002
SURRY COUNTY,2397,2025,53.61,45.29,1768,1756,50,49.660000000000004,-3.9499999999999957,4.710000000000001
SUSSEX COUNTY,2827,2219,55.56,43.61,1973,2028,49.02,50.39,-5.170000000000002,5.410000000000004
TAZEWELL COUNTY,3205,16731,15.92,83.1,12045,1821,86.59,13.09,-2.83,3.490000000000009
VIRGINIA BEACH CITY,117393,105087,51.59,46.18,86973,73965,53.620000000000005,45.6,-5.990000000000002,7.440000000000005
WARREN COUNTY,6603,14069,31.22,66.53,11294,4328,71.85,27.53,-3.6899999999999977,5.319999999999993
WASHINGTON COUNTY,6617,21679,23.07,75.58,17395,4505,79.08,20.479999999999997,-2.5900000000000034,3.5
WAYNESBORO CITY,4961,5507,46.29,51.39,4473,3275,56.94,41.690000000000005,-4.599999999999994,5.549999999999997
WESTMORELAND COUNTY,4501,5318,45.31,53.54,4614,2971,60.55,38.99,-6.32,7.009999999999998
WILLIAMSBURG CITY,4790,1963,69.59,28.52,1703,3185,34.54,64.59,-5,6.02
WINCHESTER CITY,6610,5221,54.6,43.13,4137,4294,48.690000000000005,50.54,-4.060000000000002,5.560000000000002
WISE COUNTY,3110,13366,18.72,80.45,9691,1796,83.9,15.55,-3.169999999999998,3.450000000000003
WYTHE COUNTY,3143,11733,20.85,77.85,9458,2043,81.78,17.67,-3.1799999999999997,3.930000000000007
YORK COUNTY,17683,20241,45.59,52.19,17485,12190,58.59,40.849999999999994,-4.740000000000009,6.400000000000006
